Informe de palabras clave de búsqueda
Todo el período
Estado de palabras clave,Palabra clave,Tipo de concordancia,Campaña,Grupo de anuncios,Estado,Motivos del estado,URL final,Impr.,CTR,Código de moneda,Costo,Clics,Porcentaje de conv.,Conversiones,Prom. CPC,Costo/conv.
Habilitado,[especialista en sueño Peru],Concordancia exacta,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apta,,,19,0.00%,PEN,0.00,0,0.00%,0.00,0,0.00
Habilitado,"""qué tomar para dormir mejor""",Concordancia de frase,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apta,,,"1,015",8.37%,PEN,21.82,85,0.00%,0.00,0.26,0.00
Habilitado,"""por qué no puedo dormir""",Concordancia de frase,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Limitada,baja calidad,,"1,687",5.10%,PEN,27.25,86,0.00%,0.00,0.32,0.00
Habilitado,"""cómo tratar el insomnio""",Concordancia de frase,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Limitada,baja calidad,,"1,201",9.66%,PEN,57.88,116,0.86%,1.00,0.50,57.88
Habilitado,"""cómo conciliar el sueño""",Concordancia de frase,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apta,,,"6,960",3.49%,PEN,62.18,243,0.00%,0.00,0.26,0.00
Habilitado,"""no puedo dormir""",Concordancia de frase,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apta,,,"4,064",5.07%,PEN,68.50,206,0.49%,1.00,0.33,68.50
Habilitado,"""pastillas para dormir Peru""",Concordancia de frase,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Limitada,baja calidad,,3,33.33%,PEN,0.94,1,0.00%,0.00,0.94,0.00
Habilitado,[insomnio qué tomar],Concordancia exacta,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apta,,,83,6.02%,PEN,1.05,5,0.00%,0.00,0.21,0.00
Habilitado,"""me desvelo todas las noches""",Concordancia de frase,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apta,,,31,3.23%,PEN,0.28,1,0.00%,0.00,0.28,0.00
Habilitado,"""remedios para el insomnio""",Concordancia de frase,Organnical — Insomnio — Búsqueda,Grupo de anuncios 1,Apta,,,"1,279",8.37%,PEN,36.02,107,0.00%,0.00,0.34,0.00
Habilitado,"""por qué me duele tanto el cuerpo""",Concordancia de frase,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,No apta,campaña detenida,,495,12.73%,PEN,22.42,63,0.00%,0.00,0.36,0.00
Habilitado,"""dolor muscular crónico tratamiento""",Concordancia de frase,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,No apta,campaña detenida,,0, --,PEN,0.00,0,0.00%,0.00,0,0.00
Habilitado,"""me duele el cuerpo qué hago""",Concordancia de frase,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,No apta,campaña detenida,,"2,656",4.25%,PEN,57.07,113,0.00%,0.00,0.51,0.00
Habilitado,"""cómo aliviar el dolor de espalda""",Concordancia de frase,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,No apta,campaña detenida,,"1,959",3.11%,PEN,28.93,61,0.00%,0.00,0.47,0.00
Habilitado,"""por qué me duele todo el cuerpo""",Concordancia de frase,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,No apta,baja calidad; campaña detenida,,161,4.97%,PEN,4.68,8,0.00%,0.00,0.59,0.00
Habilitado,"""cómo aliviar el dolor crónico""",Concordancia de frase,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,No apta,campaña detenida,,86,6.98%,PEN,3.41,6,0.00%,0.00,0.57,0.00
Detenido,"""me duele la espalda qué hago""",Concordancia de frase,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,Detenida,detenido; campaña detenida,,"3,710",2.21%,PEN,48.31,82,0.00%,0.00,0.59,0.00
Habilitado,"""me duele el cuerpo entero""",Concordancia de frase,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,No apta,campaña detenida,,341,2.35%,PEN,5.52,8,0.00%,0.00,0.69,0.00
Habilitado,"""por qué me duele el cuerpo al despertar""",Concordancia de frase,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,No apta,campaña detenida,,38,0.00%,PEN,0.00,0,0.00%,0.00,0,0.00
Habilitado,"""dolor que no se quita con nada""",Concordancia de frase,Organnical — Dolor Crónico — Búsqueda,Grupo de anuncios 1,No apta,campaña detenida,,1,0.00%,PEN,0.00,0,0.00%,0.00,0,0.00
Habilitado,"""mi cabeza no para de pensar""",Concordancia de frase,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apta,,,240,4.58%,PEN,2.74,11,0.00%,0.00,0.25,0.00
Habilitado,"""remedios para la ansiedad""",Concordancia de frase,Organnical — Ansiedad — Búsqueda,Grupo de anuncios 1,Apta,,,"2,792",6.30%,PEN,65.52,176,0.00%,0.00,0.37,0.00
